name,platform,r-date,score,user score,developer,genre,players,critics,users
The Legend of Zelda: Ocarina of Time,Nintendo64,23-Nov-98,99,9.1,Nintendo,"Action Adventure,Fantasy",1 Player,22,5749
Tony Hawk's Pro Skater 2,PlayStation,20-Sep-00,98,7.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",2-Jan,19,647
Grand Theft Auto IV,PlayStation3,29-Apr-08,98,7.6,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",1 Player,64,3806
SoulCalibur,Dreamcast,8-Sep-99,98,8.5,Namco,"Action,Fighting,3D",2-Jan,24,324
Grand Theft Auto IV,Xbox360,29-Apr-08,98,7.9,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",1 Player,86,3364
Super Mario Galaxy,Wii,12-Nov-07,97,9,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,73,3059
Super Mario Galaxy 2,Wii,23-May-10,97,9.1,NintendoEADTokyo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,87,2521
Red Dead Redemption 2,XboxOne,26-Oct-18,97,7.8,RockstarGames,"Action Adventure,Open-World",Up to 32 ,33,3186
Grand Theft Auto V,XboxOne,18-Nov-14,97,7.8,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 ,14,1285
Grand Theft Auto V,PlayStation3,17-Sep-13,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,50,4568
Grand Theft Auto V,Xbox360,17-Sep-13,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,58,3905
Tony Hawk's Pro Skater 2,Dreamcast,6-Nov-00,97,6.2,Treyarch,"Sports,Alternative,Skateboarding",No info,18,88
The Legend of Zelda: Breath of the Wild,Switch,3-Mar-17,97,8.6,Nintendo,"Action Adventure,Open-World",No Online Multiplayer,109,15873
Tony Hawk's Pro Skater 3,PlayStation2,28-Oct-01,97,7.6,NeversoftEntertainment,"Sports,Alternative,Skateboarding",2-Jan,34,406
Perfect Dark,Nintendo64,22-May-00,97,8.9,RareLtd.,"Action,Shooter,First-Person,Sci-Fi",No info,30,420
Red Dead Redemption 2,PlayStation4,26-Oct-18,97,8.4,RockstarGames,"Action Adventure,Open-World",Up to 32 ,99,14315
Grand Theft Auto V,PlayStation4,18-Nov-14,97,8.4,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 ,66,5899
Metroid Prime,GameCube,17-Nov-02,97,9.2,RetroStudios,"Action,Shooter,First-Person,Sci-Fi",1 Player,70,1113
Grand Theft Auto III,PlayStation2,22-Oct-01,97,8.4,DMADesign,"Action Adventure,Modern",1 Player,56,881
Super Mario Odyssey,Switch,27-Oct-17,97,8.9,Nintendo,"Action,Platformer,3D",No Online Multiplayer,113,5546
Halo: Combat Evolved,Xbox,14-Nov-01,97,8.5,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",4-Jan,68,2052
NFL 2K1,Dreamcast,7-Sep-00,97,6.4,VisualConcepts,"Sports,Traditional,Football,Sim",No info,22,67
Half-Life 2,PC,16-Nov-04,96,9.1,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,81,10773
Grand Theft Auto V,PC,13-Apr-15,96,7.8,RockstarNorth,"Modern,Action Adventure,Open-World",Up to 32 ,57,6661
The Legend of Zelda: Breath of the Wild,WiiU,3-Mar-17,96,8.2,Nintendo,"Fantasy,Fantasy,Action Adventure,Open-World",No Online Multiplayer,13,2245
BioShock,Xbox360,21-Aug-07,96,8.9,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,88,2572
GoldenEye 007,Nintendo64,25-Aug-97,96,9,RareLtd.,"Action,Shooter,First-Person,Modern",4-Jan,21,668
Uncharted 2: Among Thieves,PlayStation3,13-Oct-09,96,8.8,NaughtyDog,"Action Adventure,Modern,Modern,Linear",No Online Multiplayer,105,6716
Resident Evil 4,GameCube,11-Jan-05,96,9.2,Capcom,"Action Adventure,Horror",1 Player,82,1596
The Orange Box,Xbox360,10-Oct-07,96,8.8,ValveSoftware,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 16 ,54,879
The Orange Box,PC,10-Oct-07,96,9.2,ValveSoftware,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 32 ,34,1804
Batman: Arkham City,PlayStation3,18-Oct-11,96,8.8,RocksteadyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,42,2773
Tekken 3,PlayStation,29-Apr-98,96,9.1,Namco,"Action,Fighting,3D",2-Jan,15,660
Mass Effect 2,Xbox360,26-Jan-10,96,8.9,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,98,3503
The Legend of Zelda: Twilight Princess,GameCube,11-Dec-06,96,8.9,Nintendo,"Action Adventure,Fantasy",1 Player,16,823
The Elder Scrolls V: Skyrim,Xbox360,11-Nov-11,96,8.6,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,89,3954
Half-Life,PC,19-Nov-98,96,9,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Online Multiplayer,24,4321
Resident Evil 4,PlayStation2,25-Oct-05,96,9,Capcom,"Action Adventure,Horror",1 Player,38,1628
The Legend of Zelda: The Wind Waker,GameCube,24-Mar-03,96,9,Nintendo,"Action Adventure,Fantasy",1 Player,80,1370
Gran Turismo,PlayStation,30-Apr-98,96,8.7,PolyphonyDigital,"Driving,Racing,GT / Street",2-Jan,16,269
BioShock,PC,21-Aug-07,96,8.6,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,44,4814
Metal Gear Solid 2: Sons of Liberty,PlayStation2,12-Nov-01,96,8.8,KCEJ,"Action Adventure,Modern",1 Player,42,1545
Grand Theft Auto Double Pack,Xbox,31-Oct-03,96,8,RockstarNorth,"Miscellaneous,Compilation",1 Player,33,91
Baldur's Gate II: Shadows of Amn,PC,24-Sep-00,95,9.1,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",Up to 6 ,30,1433
Grand Theft Auto: San Andreas,PlayStation2,26-Oct-04,95,9.1,RockstarNorth,"Action Adventure,Modern",2-Jan,80,2444
Grand Theft Auto: Vice City,PlayStation2,27-Oct-02,95,8.8,RockstarNorth,"Action Adventure,Modern",1 Player,62,1092
LittleBigPlanet,PlayStation3,27-Oct-08,95,6.8,"SCE/WWS,MediaMolecule","Action,Platformer,Platformer,3D,2D,3D",Up to 4 ,85,5533
The Legend of Zelda Collector's Edition,GameCube,17-Nov-03,95,9,Nintendo,"Action Adventure,Fantasy",1 Player,8,194
Red Dead Redemption,PlayStation3,18-May-10,95,8.9,RockstarSanDiego,"Action,Shooter,Third-Person,Historic,Action Adventure,Historic,Historic,Open-World",Up to 16 ,73,3371
Gran Turismo 3: A-Spec,PlayStation2,9-Jul-01,95,8.4,PolyphonyDigital,"Driving,Racing,GT / Street",2-Jan,54,386
Halo 2,Xbox,9-Nov-04,95,8.4,BungieSoftware,"Action,Shooter,First-Person,Sci-Fi",16-Jan,91,1656
The Legend of Zelda: A Link to the Past,GameBoyAdvance,3-Dec-02,95,9,Capcom,"Action Adventure,Fantasy",No info,30,524
The Legend of Zelda: Majora's Mask,Nintendo64,25-Oct-00,95,9.2,Nintendo,"Action Adventure,Fantasy",1 Player,27,1198
The Last of Us,PlayStation3,14-Jun-13,95,9.2,NaughtyDog,"Modern,Adventure,General,Action Adventure,General,Modern",Up to 8 ,98,11982
The Legend of Zelda: Twilight Princess,Wii,19-Nov-06,95,8.9,Nintendo,"Action Adventure,Fantasy,General,Fantasy,Open-World",No Online Multiplayer,73,2060
Madden NFL 2003,PlayStation2,12-Aug-02,95,7.5,EASports,"Sports,Traditional,Football,Sim",2-Jan,25,66
