title_id,title,platform,release_date,score,user_score,developer,genre,critics,users,franchise
0,.hack//G.U. Last Recode,PlayStation4,11/3/2017,76,8.1,CyberConnect2,"Miscellaneous,Compilation",21,64,hack
1,.hack//G.U. Last Recode,PC,3-Nov-17,69,8.0,CyberConnect2,"Miscellaneous,Compilation",7,25,hack
2,#IDARB,XboxOne,1/30/2015,77,6.9,OtherOceanInteractive,"Action,General",31,88,#IDARB
3,007: Quantum of Solace,PlayStation3,4-Nov-08,65,6.6,Treyarch,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade",42,59,007: Quantum of Solace
4,007: Quantum of Solace,PC,4-Nov-08,70,6.1,"Treyarch,Beenox","Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade",18,64,007: Quantum of Solace
5,0RBITALIS,PC,28-May-15,73,7.3,AlanZucconi,"Miscellaneous,Puzzle,Action",9,4,0RBITALIS
6,10 Second Ninja,PC,5-Mar-14,72,7.1,GameDesignDan,"Action,Platformer,2D",13,16,10 Second Ninja
7,10 Second Ninja X,XboxOne,7/19/2016,82,4.5,GameDesignDan,"Action,Platformer,2D",10,8,10 Second Ninja
8,10 Second Ninja X,PlayStation4,7/19/2016,76,5.4,GameDesignDan,"Action,Platformer,2D",16,22,10 Second Ninja
9,1001 Spikes,PlayStation4,6/3/2014,78,6.5,Nicalis,"Action,Platformer,Platformer,2D,2D",8,37,1001 Spikes
10,11-11: Memories Retold,PC,8-Nov-18,73,6.6,DigixartEntertainment,"Adventure,General,3D,Third-Person",11,24,11-11: Memories Retold
11,11-11: Memories Retold,XboxOne,11/9/2018,77,7.3,DigixartEntertainment,"Adventure,General,3D,Third-Person",9,8,11-11: Memories Retold
12,11-11: Memories Retold,PlayStation4,11/9/2018,77,7.7,DigixartEntertainment,"Adventure,General,3D,Third-Person",33,54,11-11: Memories Retold
13,112 Operator,PC,23-Apr-20,73,7.6,JutsuGames,"Strategy,General",10,14,112 Operator
14,13 Sentinels: Aegis Rim,PlayStation4,9/22/2020,86,8.9,Vanillaware,"Role-Playing,Action RPG,Adventure,General",65,94,13 Sentinels
15,1503 A.D. - The New World,PC,23-Mar-03,74,7.6,SunflowersInteractive,"Strategy,Real-Time,Historic,General,Historic",14,21,1503 A.D.
16,1701 A.D.,PC,11/6/2006,79,7.8,RelatedDesigns,"Strategy,Real-Time,Historic,General,Historic",30,45,1701 A.D.
17,1942: Joint Strike,PlayStation3,24-Jul-08,69,5.9,BackboneEntertainment,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",20,16,1942: Joint Strike
18,1979 Revolution: Black Friday,PlayStation4,31-Jul-18,70,6.0,iNKStories,"Adventure,General",10,11,1979 Revolution: Black Friday
19,1979 Revolution: Black Friday,Switch,8/2/2018,77,7.6,iNKStories,"Adventure,General",7,13,1979 Revolution: Black Friday
20,1979 Revolution: Black Friday,PC,4/4/2016,80,7.5,"N-FusionInteractiveEntertainmentCorp.,iNKStories","Adventure,General",25,76,1979 Revolution: Black Friday
21,198X,PlayStation4,16-Jul-19,74,5.9,Hi-BitStudios,"Action,Miscellaneous,Platformer,Party / Minigame,2D",7,15,198X
22,198X,Switch,23-Jan-20,65,7.0,Hi-BitStudios,"Action,Miscellaneous,Platformer,Party / Minigame,2D",10,16,198X
23,1nsane,PC,5-Feb-01,69,7.5,Invictus,"Driving,Racing,Simulation,Rally / Offroad,Automobile",14,28,1nsane
24,2002 FIFA World Cup,PC,4/30/2002,80,7.4,EASports,"Sports,Traditional,Team,Soccer,Sim,Sim",9,63,FIFA
25,2010 FIFA World Cup South Africa,PlayStation3,4/27/2010,82,7.8,EACanada,"Sports,Traditional,Team,Soccer,Sim,Sim",56,65,FIFA
26,2014 FIFA World Cup Brazil,PlayStation3,15-Apr-14,73,4.5,EACanada,"Sports,Traditional,Team,Soccer,Sim",33,93,FIFA
