title_id,title,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
0,#IDARB,XboxOne,2009.0,Adventure,DTP Entertainment,0.0,0.09,0.0,0.0,0.09,63.0,6.0,5.8,8.0,DTP Entertainment,
1,.hack//G.U. Last Recode,PlayStation4,2012.0,Action,Namco Bandai Games,0.0,0.0,0.47,0.0,0.47,,,,,,
2,007: Quantum of Solace,PC,2008.0,Action,Activision,0.01,0.01,0.0,0.0,0.03,70.0,18.0,6.3,55.0,Treyarch,T
3,007: Quantum of Solace,PlayStation3,2008.0,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,42.0,6.6,47.0,Treyarch,T
4,10 Second Ninja,PC,2009.0,Racing,Rondomedia,0.0,0.02,0.0,0.0,0.02,,,8.0,10.0,,
5,10 Second Ninja X,XboxOne,2011.0,Racing,Rondomedia,0.08,0.02,0.0,0.01,0.11,,,8.3,10.0,ValuSoft,E
6,1701 A.D.,PC,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.3,38.0,Related Designs,E10+
7,2010 FIFA World Cup South Africa,PlayStation3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82.0,56.0,7.8,57.0,EA Canada,E
8,2014 FIFA World Cup Brazil,PlayStation3,2014.0,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,33.0,4.3,87.0,EA Canada,E
9,3D Dot Game Heroes,PlayStation3,2009.0,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.0,96.0,Silicon Studio,E10+
10,3rd Super Robot Wars Z Jigoku Hen,PlayStation3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,,,,,,
11,3rd Super Robot Wars Z: Tengoku-Hen,PlayStation3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,
12,4 Elements,PC,2009.0,Puzzle,Mastertronic,0.0,0.04,0.0,0.01,0.05,,,7.4,19.0,Playrix Entertainment,E
13,4 Play Collection - Dark Mysteries,PC,2014.0,Misc,Avanquest Software,0.0,0.01,0.0,0.0,0.02,,,,,,
14,428: Fuusa Sareta Shibuya de,PlayStation3,2009.0,Adventure,Spike,0.0,0.0,0.02,0.0,0.02,,,,,,
15,50 Cent: Blood on the Sand,PlayStation3,2009.0,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72.0,37.0,7.2,57.0,Swordfish Studios,M
16,7 Days to Die,PlayStation4,2016.0,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,16.0,5.9,140.0,The Fun Pimps Entertainment LLC,M
17,7 Days to Die,XboxOne,2016.0,Action,Telltale Games,0.03,0.02,0.0,0.0,0.05,35.0,17.0,5.2,74.0,The Fun Pimps Entertainment LLC,M
18,7 Roses: A Darkness Rises,PC,2015.0,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02,,,,,,
19,A Bird Story,PC,2011.0,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03,53.0,40.0,4.0,110.0,Cyanide,
20,A New Beginning: Final Cut,PC,2010.0,Adventure,Deep Silver,0.0,0.05,0.0,0.01,0.06,,,,,,
21,A Plague Tale: Innocence,PC,2015.0,Action,Little Orbit,0.23,0.14,0.0,0.01,0.34,,,,,,
22,A Plague Tale: Innocence,XboxOne,2015.0,Action,Little Orbit,0.03,0.05,0.0,0.02,0.38,,,,,,
23,A Plague Tale: Innocence,PlayStation4,2015.0,Action,Little Orbit,0.03,0.02,0.0,0.0,0.3,,,,,,
