Name,Platform,Release-Date,Score,User Score,Developer,Genre,players,critics,Users,Franchise 
The Legend of Zelda: Ocarina of Time,Nintendo64,23-Nov-98,99,9.1,Nintendo,"Action Adventure,Fantasy",1 Player,22,5749,Legend of Zelda 
Grand Theft Auto IV,PlayStation3,29-Apr-08,98,7.6,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",1 Player,64,3806,Grand Theft Auto
Grand Theft Auto IV,Xbox360,29-Apr-08,98,7.9,RockstarNorth,"Action Adventure,Modern,Modern,Open-World",1 Player,86,3364,Grand Theft Auto
Super Mario Galaxy,Wii,12-Nov-07,97,9,Nintendo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,73,3059,Super Mario 
Super Mario Galaxy 2,Wii,23-May-10,97,9.1,NintendoEADTokyo,"Action,Platformer,Platformer,3D,3D",No Online Multiplayer,87,2521,Super Mario 
Red Dead Redemption 2,XboxOne,26-Oct-18,97,7.8,RockstarGames,"Action Adventure,Open-World",Up to 32 ,33,3186,Red Dead Redeption
Grand Theft Auto V,XboxOne,18-Nov-14,97,7.8,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 ,14,1285,Grand Theft Auto
Grand Theft Auto V,PlayStation3,17-Sep-13,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,50,4568,Grand Theft Auto
Grand Theft Auto V,Xbox360,17-Sep-13,97,8.3,RockstarNorth,"Modern,Action Adventure,Modern,Open-World",Up to 16 ,58,3905,Grand Theft Auto
The Legend of Zelda: Breath of the Wild,Switch,3-Mar-17,97,8.6,Nintendo,"Action Adventure,Open-World",No Online Multiplayer,109,15873,Legend of Zelda 
Red Dead Redemption 2,PlayStation4,26-Oct-18,97,8.4,RockstarGames,"Action Adventure,Open-World",Up to 32 ,99,14315,Red Dead Redeption
Grand Theft Auto V,PlayStation4,18-Nov-14,97,8.4,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 ,66,5899,Grand Theft Auto
Metroid Prime,GameCube,17-Nov-02,97,9.2,RetroStudios,"Action,Shooter,First-Person,Sci-Fi",1 Player,70,1113,Metroid
Grand Theft Auto III,PlayStation2,22-Oct-01,97,8.4,DMADesign,"Action Adventure,Modern",1 Player,56,881,Grand Theft Auto
Super Mario Odyssey,Switch,27-Oct-17,97,8.9,Nintendo,"Action,Platformer,3D",No Online Multiplayer,113,5546,Super Mario 
Half-Life 2,PC,16-Nov-04,96,9.1,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,81,10773,Half-Life
Grand Theft Auto V,PC,13-Apr-15,96,7.8,RockstarNorth,"Modern,Action Adventure,Open-World",Up to 32 ,57,6661,Grand Theft Auto
The Legend of Zelda: Breath of the Wild,WiiU,3-Mar-17,96,8.2,Nintendo,"Fantasy,Fantasy,Action Adventure,Open-World",No Online Multiplayer,13,2245,Legend of Zelda 
BioShock,Xbox360,21-Aug-07,96,8.9,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,88,2572,BioShock
Uncharted 2: Among Thieves,PlayStation3,13-Oct-09,96,8.8,NaughtyDog,"Action Adventure,Modern,Modern,Linear",No Online Multiplayer,105,6716,Uncharted
Resident Evil 4,GameCube,11-Jan-05,96,9.2,Capcom,"Action Adventure,Horror",1 Player,82,1596,Resident Evil 
The Orange Box,Xbox360,10-Oct-07,96,8.8,ValveSoftware,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 16 ,54,879,The Orange Box
The Orange Box,PC,10-Oct-07,96,9.2,ValveSoftware,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi",Up to 32 ,34,1804,The Orange Box
Batman: Arkham City,PlayStation3,18-Oct-11,96,8.8,RocksteadyStudios,"Action Adventure,Fantasy,Fantasy,Open-World",No Online Multiplayer,42,2773,Batman
Mass Effect 2,Xbox360,26-Jan-10,96,8.9,BioWare,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,98,3503,Mass Effect
The Legend of Zelda: Twilight Princess,GameCube,11-Dec-06,96,8.9,Nintendo,"Action Adventure,Fantasy",1 Player,16,823,Legend of Zelda 
The Elder Scrolls V: Skyrim,Xbox360,11-Nov-11,96,8.6,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,Western-Style",No Online Multiplayer,89,3954,Elder Scrolls: Skyrim
Half-Life,PC,19-Nov-98,96,9,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",Online Multiplayer,24,4321,Half-Life
Resident Evil 4,PlayStation2,25-Oct-05,96,9,Capcom,"Action Adventure,Horror",1 Player,38,1628,Resident Evil 
The Legend of Zelda: The Wind Waker,GameCube,24-Mar-03,96,9,Nintendo,"Action Adventure,Fantasy",1 Player,80,1370,Legend of Zelda 
BioShock,PC,21-Aug-07,96,8.6,"IrrationalGames,2KMarin","Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No Online Multiplayer,44,4814,BioShock
Metal Gear Solid 2: Sons of Liberty,PlayStation2,12-Nov-01,96,8.8,KCEJ,"Action Adventure,Modern",1 Player,42,1545,Metal Gear Solid 
Grand Theft Auto Double Pack,Xbox,31-Oct-03,96,8,RockstarNorth,"Miscellaneous,Compilation",1 Player,33,91,Grand Theft Auto
Baldur's Gate II: Shadows of Amn,PC,24-Sep-00,95,9.1,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",Up to 6 ,30,1433,Baldur's Gate
