Game Name,Franchise,Release Year,Years Since,First Release Year,Main Genre,Tier by Score,Critics,Critic_Score,Users,User Score,Developer,Global Sales,Other Info
#IDARB,#IDARB,2015,0,2015,Action,Tier 3,31,77,88,6.9,OtherOceanInteractive,0.09,"Action,General"
007: Quantum of Solace,007: Quantum of Solace,2008,0,2008,Action,Tier 4,42,65,59,6.6,Treyarch,1.14,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
007: Quantum of Solace,007: Quantum of Solace,2008,0,2008,Action,Tier 3,18,70,64,6.1,"Treyarch,Beenox",0.03,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
0RBITALIS,0RBITALIS,2015,0,2015,General,Tier 3,9,73,4,7.3,AlanZucconi,,"Miscellaneous,Puzzle,Action"
10 Second Ninja,10 Second Ninja,2014,0,2014,Action,Tier 3,13,72,16,7.1,GameDesignDan,0.02,"Action,Platformer,2D"
10 Second Ninja X,10 Second Ninja,2016,2,2014,Action,Tier 2,10,82,8,4.5,GameDesignDan,0.11,"Action,Platformer,2D"
10 Second Ninja X,10 Second Ninja,2016,2,2014,Action,Tier 3,16,76,22,5.4,GameDesignDan,,"Action,Platformer,2D"
1001 Spikes,1001 Spikes,2014,0,2014,Action,Tier 3,8,78,37,6.5,Nicalis,,"Action,Platformer,Platformer,2D,2D"
11-11: Memories Retold,11-11: Memories Retold,2018,0,2018,Adventure,Tier 3,11,73,24,6.6,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
11-11: Memories Retold,11-11: Memories Retold,2018,0,2018,Adventure,Tier 3,9,77,8,7.3,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
11-11: Memories Retold,11-11: Memories Retold,2018,0,2018,Adventure,Tier 3,33,77,54,7.7,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
112 Operator,112 Operator,2020,0,2020,Strategy,Tier 3,10,73,14,7.6,JutsuGames,,"Strategy,General"
13 Sentinels: Aegis Rim,13 Sentinels,2020,0,2020,Role-Play,Tier 2,65,86,94,8.9,Vanillaware,,"Role-Playing,Action RPG,Adventure,General"
1503 A.D. - The New World,1503 A.D.,2003,0,2003,Strategy,Tier 3,14,74,21,7.6,SunflowersInteractive,,"Strategy,Real-Time,Historic,General,Historic"
