game_name,franchise,platform,release_date,release_year,years_since,first_release_year,main_genre,tier_by_score,critics,critic_score,users,user_score,developer,global_sales,other_info
.hack//G.U. Last Recode,hack,PC,2017-11-03,2017,0,2017,General,Tier 4,7,69,25,8,CyberConnect2,,"Miscellaneous,Compilation"
007: Quantum of Solace,007: Quantum of Solace,PC,2008-11-04,2008,0,2008,Action,Tier 3,18,70,64,6,"Treyarch,Beenox",0,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
0RBITALIS,0RBITALIS,PC,2015-05-28,2015,0,2015,General,Tier 3,9,73,4,7,AlanZucconi,,"Miscellaneous,Puzzle,Action"
10 Second Ninja,10 Second Ninja,PC,2014-03-05,2014,0,2014,Action,Tier 3,13,72,16,7,GameDesignDan,0,"Action,Platformer,2D"
11-11: Memories Retold,11-11: Memories Retold,PC,2018-11-08,2018,0,2018,Adventure,Tier 3,11,73,24,7,DigixartEntertainment,,"Adventure,General,3D,Third-Person"
112 Operator,112 Operator,PC,2020-04-23,2020,0,2020,Strategy,Tier 3,10,73,14,8,JutsuGames,,"Strategy,General"
1503 A.D. - The New World,1503 A.D.,PC,2003-03-23,2003,0,2003,Strategy,Tier 3,14,74,21,8,SunflowersInteractive,,"Strategy,Real-Time,Historic,General,Historic"
1701 A.D.,1701 A.D.,PC,2006-11-06,2006,0,2006,Strategy,Tier 3,30,79,45,8,RelatedDesigns,0,"Strategy,Real-Time,Historic,General,Historic"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,Switch,2018-08-02,2018,2,2016,Adventure,Tier 3,7,77,13,8,iNKStories,,"Adventure,General"
1979 Revolution: Black Friday,1979 Revolution: Black Friday,PC,2016-04-04,2016,0,2016,Adventure,Tier 2,25,80,76,8,"N-FusionInteractiveEntertainmentCorp.,iNKStories",,"Adventure,General"
198X,198X,Switch,2020-01-23,2020,1,2019,Action,Tier 4,10,65,16,7,Hi-BitStudios,,"Action,Miscellaneous,Platformer,Party / Minigame,2D"
1nsane,1nsane,PC,2001-02-05,2001,0,2001,Racing,Tier 4,14,69,28,8,Invictus,,"Driving,Racing,Simulation,Rally / Offroad,Automobile"
2002 FIFA World Cup,FIFA,PC,2002-04-30,2002,2,2000,Sports,Tier 2,9,80,63,7,EASports,,"Sports,Traditional,Team,Soccer,Sim,Sim"
2064: Read Only Memories INTEGRAL,2064: Read Only Memories,Switch,2018-07-26,2018,1,2017,Adventure,Tier 3,7,74,12,7,MidBoss,,"Adventure,Point-and-Click"
20XX,20XX,Switch,2018-07-10,2018,0,2018,Action,Tier 3,14,77,14,8,BatterystapleGames,,"Action,Platformer,2D"
2Dark,2Dark,PC,2017-03-10,2017,0,2017,Action Adventure,Tier 4,14,68,32,6,Gloomywood,,"Action Adventure,General"
3000th Duel,3000th Duel,Switch,2020-02-19,2020,0,2020,Action Adventure,Tier 3,8,71,58,8,NEOPOPCORNCorp,,"Action Adventure,General"
