name,platform,release_date,score,user_score,developer,genre,critics,users
Full Throttle,PC,30-Apr-95,86.0,8.6,LucasArts,"Adventure,General",8.0,181.0
Duke Nukem 3D,PC,29-Jan-96,89.0,8.7,3DRealms,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",8.0,461.0
Sid Meier's Civilization II,PC,29-Feb-96,94.0,8.8,MPSLabs,"Strategy,Turn-Based,Historic,General,Historic,4X",7.0,450.0
Bad Mojo,PC,29-Feb-96,74.0,6.9,PulseEntertainment,"Action Adventure,Adventure,General,Horror,General",10.0,13.0
Quake,PC,22-Jun-96,94.0,8.8,idSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",9.0,813.0
Time Commando,PC,31-Jul-96,80.0,8.3,AdelineSoftware,"Action Adventure,Sci-Fi,Sci-Fi,General",7.0,31.0
Circle of Blood,PC,30-Sep-96,80.0,8.3,RevolutionSoftware,"Adventure,General,General,Point-and-Click",9.0,22.0
Master of Orion II: Battle at Antares,PC,1-Oct-96,84.0,8.8,SimTex,"Strategy,Turn-Based,Sci-Fi,4X",9.0,37.0
Command & Conquer: Red Alert,PC,31-Oct-96,90.0,8.8,WestwoodStudios,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",7.0,360.0
Diablo,PC,31-Dec-96,94.0,8.7,BlizzardEntertainment,"Role-Playing,Action RPG,Action RPG",12.0,1161.0
Obsidian,PC,31-Dec-96,85.0,7.1,RocketScienceGames,"Adventure,General,General",9.0,16.0
The Last Express,PC,31-Mar-97,82.0,8.7,SmokingCarProductions,"Adventure,General,General",8.0,71.0
Blood,PC,31-May-97,82.0,8.9,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",7.0,133.0
Total Annihilation,PC,27-Sep-97,86.0,8.8,CavedogEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command",10.0,205.0
Sid Meier's Gettysburg!,PC,30-Sep-97,92.0,7.4,FiraxisGames,"Strategy,Real-Time,Wargame,Real-Time,General",7.0,40.0
Age of Empires,PC,30-Sep-97,83.0,8.7,EnsembleStudios,"Strategy,Real-Time,Historic,Historic,Command",9.0,361.0
Star Wars Jedi Knight: Dark Forces II,PC,9-Oct-97,91.0,8.6,LucasArts,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade",10.0,199.0
Fallout,PC,9-Oct-97,89.0,8.8,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,PC-style RPG,Western-Style",12.0,1254.0
Myth: The Fallen Lords,PC,31-Oct-97,91.0,8.5,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General,Fantasy",9.0,93.0
The Curse of Monkey Island,PC,31-Oct-97,89.0,9,LucasArts,"Adventure,General,General,Point-and-Click",9.0,323.0
Broken Sword: The Smoking Mirror,PC,31-Oct-97,69.0,7.9,RevolutionSoftware,"Adventure,Third-Person,Point-and-Click,Modern,Modern",11.0,116.0
Starcraft,PC,31-Mar-98,88.0,9.1,BlizzardEntertainment,"Strategy,Real-Time,Sci-Fi,Sci-Fi,Command",15.0,1105.0
Emergency: Fighters for Life,PC,31-Jul-98,71.0,7.9,TopWareInteractive,"Strategy,General,General",9.0,10.0
Tom Clancy's Rainbow Six,PC,21-Aug-98,85.0,8.1,RedStormEntertainment,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern",13.0,73.0
Shogo: Mobile Armor Division,PC,30-Sep-98,88.0,8.4,MonolithProductions,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",13.0,79.0
Fallout 2,PC,30-Sep-98,86.0,9.1,BlackIsleStudios,"Role-Playing,First-Person,First-Person,PC-style RPG,Western-Style",15.0,1437.0
Grim Fandango,PC,14-Oct-98,94.0,9.1,LucasArts,"Adventure,General,General,3D,Third-Person,Fantasy",15.0,685.0
Blood II: The Chosen,PC,31-Oct-98,72.0,7.2,MonolithProductions,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade",14.0,61.0
Railroad Tycoon II,PC,2-Nov-98,89.0,8.5,PopTopSoftware,"Strategy,Tycoon,Management,Tycoon,Business / Tycoon",11.0,94.0
Half-Life,PC,19-Nov-98,96.0,9,ValveSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",24.0,4321.0
Thief: The Dark Project,PC,30-Nov-98,92.0,9,LookingGlassStudios,"Action Adventure,Fantasy,General,Fantasy",18.0,397.0
Myth II: Soulblighter,PC,30-Nov-98,88.0,8.7,"BungieSoftware,Bungie","Strategy,Real-Time,Fantasy,General",12.0,72.0
Falcon 4.0,PC,30-Nov-98,85.0,7.8,"Atari,MicroProse","Simulation,Flight,Modern Jet,Modern Jet,Combat",10.0,28.0
Baldur's Gate,PC,21-Dec-98,91.0,8.9,BioWare,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style",16.0,759.0
Sid Meier's Alpha Centauri,PC,12-Feb-99,92.0,8.8,FiraxisGames,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,4X",19.0,249.0
EverQuest,PC,16-Mar-99,85.0,7.9,SonyOnlineEntertainment,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy",17.0,65.0
Total Annihilation: Kingdoms,PC,23-Jun-99,74.0,8.5,CavedogEntertainment,"Strategy,Real-Time,Fantasy,General,Command",18.0,31.0
Hidden & Dangerous,PC,29-Jul-99,74.0,7.8,IllusionSoftworks,"Action,Shooter,General,Shooter,First-Person,Tactical,Historic",13.0,32.0
System Shock 2,PC,11-Aug-99,92.0,9.1,"LookingGlassStudios,IrrationalGames","Action Adventure,Sci-Fi,Sci-Fi,Survival",20.0,638.0
